#beta kappa   mw     eb     bias     mh     eb     bias    mh/mw eb    bias
2.30 0.4090 0.4896 0.0055 0.0 0.85 0.019 0.0 1.736 0.048 0.0
2.30 0.4020 0.4664 0.0052 0.0 0.586 0.022 0.0 1.256 0.045 0.0
2.30 0.4080 0.4727 0.0056 0.0 0.807 0.016 0.0 1.708 0.039 0.0
2.30 0.4030 0.4643 0.0047 0.0 0.615 0.019 0.0 1.325 0.04 0.0
2.30 0.4010 0.4703 0.0033 0.0 0.534 0.019 0.0 1.136 0.039 0.0
2.30 0.4110 0.4662 0.0049 0.0 0.887 0.02 0.0 1.902 0.05 0.0
2.30 0.4060 0.4629 0.0043 0.0 0.743 0.016 0.0 1.605 0.037 0.0
2.30 0.4100 0.4843 0.0043 0.0 0.843 0.02 0.0 1.741 0.044 0.0
2.30 0.4120 0.4802 0.0044 0.0 0.872 0.025 0.0 1.815 0.053 0.0
2.30 0.4040 0.4666 0.0041 0.0 0.645 0.023 0.0 1.383 0.049 0.0
2.30 0.4070 0.4659 0.0043 0.0 0.748 0.027 0.0 1.607 0.057 0.0
2.30 0.4050 0.4688 0.0037 0.0 0.674 0.023 0.0 1.437 0.049 0.0
