#col1   col2   col3   col4   col5
2.40 0.4280 0.8449 0.0021 0.0000
2.40 0.4030 0.9340 0.0130 0.0000
2.30 0.4500 0.8466 0.0028 -0.0000
2.30 0.4150 0.9575 0.0058 0.0001
2.40 0.4240 0.8240 0.0130 0.0000
2.30 0.4550 0.8362 0.0043 -0.0001
2.30 0.4470 0.8489 0.0038 0.0001
2.30 0.4250 0.9069 0.0042 -0.0000
2.40 0.4400 0.8107 0.0060 0.0001
2.30 0.4350 0.8571 0.0068 -0.0001
2.30 0.4090 0.9550 0.0160 -0.0000
2.30 0.4400 0.8525 0.0055 -0.0000
2.40 0.4300 0.8429 0.0037 -0.0000
2.30 0.4300 0.8791 0.0083 -0.0001
2.40 0.3980 0.9360 0.0200 -0.0000
2.40 0.4310 0.8352 0.0038 0.0000
2.30 0.4200 0.8830 0.0210 -0.0000
2.30 0.4460 0.8460 0.0034 0.0001
2.30 0.4100 0.9540 0.0160 -0.0000
2.40 0.4270 0.8314 0.0056 0.0001
2.30 0.4550 0.8348 0.0020 -0.0002
